Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate,Literacy Rate,Institutions,Persons Per EduInst,Medical Institutions,Persons Per MedInst
17.02,58324,980,956,2002,42254,46515,17816,25246,6030,69848,56412,711,706,307,267,52,41,9,34,170,248,419,274108,487,178,83,10,139877,0.51029886,748,366.4545455,84,3263.190476
16.26,394060,957,969,13571,246925,266849,157537,255929,74647,480134,258669,1723,1719,1220,733,NA,345,61,308,471,494,639,1830673,1436,523,270,23,1015485,0.554705838,2229,821.2978914,714,2563.967787
16.79,326784,977,961,17751,220226,216473,129539,153161,43741,395160,226066,2062,2041,1415,1237,NA,374,60,296,684,535,956,1561990,1677,757,495,NA,780918,0.499950704,2929,533.2843974,730,2139.712329
17.89,472123,980,955,18360,279035,257013,167052,189667,53696,618457,409340,3746,3658,2234,1939,NA,561,88,498,768,870,1554,2223456,2681,889,486,NA,964860,0.433946073,4056,548.1893491,1147,1938.496949
19.24,403653,953,943,12810,352280,365601,177018,235371,76372,483345,161788,2587,2585,2314,1406,NA,298,71,223,835,406,1037,2024508,1782,1125,586,NA,1219495,0.602366106,3493,579.5900372,592,3419.777027
20.47,238888,974,942,11595,234531,264062,124330,161403,46921,301570,83549,1243,1243,973,672,NA,203,46,151,537,307,421,1333749,954,547,318,10,842855,0.631944241,1819,733.2319956,400,3334.3725
13.25,271475,1014,940,9907,238908,253080,139242,180835,43620,293565,94731,1407,1399,1189,962,NA,236,46,207,1078,263,488,1302005,1109,623,371,NA,865643,0.664853822,2103,619.1179268,489,2662.586912
13.15,221783,963,925,8564,175753,210226,107179,193478,42623,247726,82247,1227,1226,1093,990,NA,174,39,154,726,289,691,1057629,905,465,293,NA,737848,0.697643503,1663,635.9765484,367,2881.822888
14,466326,938,939,16069,390398,428041,251400,354489,134291,613883,180151,1856,1852,1751,1251,NA,299,53,246,678,589,1156,2341094,1432,695,424,NA,1574742,0.672652187,2551,917.7161897,598,3914.87291
17.08,327129,972,936,14965,258445,289716,162077,219666,59544,347328,99197,1575,1571,1457,1174,NA,258,55,214,633,347,969,1624341,1183,746,424,NA,1004464,0.61838247,2353,690.3276668,527,3082.240987
12.46,222023,961,925,13157,206700,191465,87602,109048,31348,261875,94638,1075,1069,885,699,122,177,35,144,484,314,414,1066878,821,431,277,23,639363,0.599284079,1529,697.7619359,356,2996.848315
10.39,178231,938,903,10484,177851,166957,71909,80575,22038,205676,82377,1531,1527,988,855,85,175,36,154,318,453,746,864516,849,361,206,14,529840,0.612874718,1416,610.5338983,365,2368.536986
24.79,374338,902,925,17780,296834,337969,197922,290926,169403,480247,94816,1358,1357,1233,960,91,188,45,163,499,352,844,1877395,957,490,261,NA,1310867,0.698237185,1708,1099.1774,396,4740.896465
14.8,287463,968,930,16211,302914,306686,173065,167251,58355,373481,77059,1591,1589,1511,1000,198,238,47,201,534,371,781,1502682,1148,593,296,NA,1024523,0.681796282,2037,737.6936672,486,3091.938272
16.01,644919,998,939,55649,515568,522328,191227,269998,76807,819726,486206,2801,2738,2177,1552,NA,478,87,397,922,933,1163,3160635,2129,733,404,13,1631722,0.516263979,3266,967.7388242,962,3285.483368
14.02,111405,1031,964,7626,57387,54959,21643,27286,6935,179992,95542,1512,1423,739,577,NA,118,22,108,174,259,419,518837,895,126,59,7,175850,0.338931109,1080,480.4046296,248,2092.084677
18.6,145676,1008,970,5556,103469,82864,40427,37775,9581,176128,130081,2377,2262,638,561,NA,164,41,130,515,381,432,648201,1427,248,118,5,279705,0.431509671,1793,361.5175683,335,1934.928358
17.45,83245,984,965,4872,77074,55094,20616,17922,4743,105794,64967,1113,1106,522,434,NA,65,13,52,123,190,280,373372,553,121,55,2,180321,0.482952658,729,512.170096,130,2872.092308
13.39,115533,966,967,10086,101666,92739,38938,39324,9162,148695,88285,824,823,613,514,NA,92,20,75,162,142,296,541835,654,212,100,8,291931,0.538782102,966,560.9057971,187,2897.513369
8.52,303385,984,967,24042,196334,202083,80273,107242,28036,351689,208061,1762,1762,1290,919,NA,237,47,197,378,423,714,1337194,1672,399,263,26,638048,0.477154399,2334,572.9194516,481,2780.029106
13,122601,1007,968,6822,65176,54005,28352,27390,5644,131561,112799,648,646,367,202,NA,103,17,86,484,150,392,530690,575,223,80,5,187412,0.353147789,878,604.4305239,206,2576.165049
17.99,320624,1001,984,21290,174170,156321,67866,75827,17904,382050,238900,2082,2012,907,618,NA,224,49,198,312,449,828,1335494,1315,401,220,20,513383,0.384414307,1936,689.821281,471,2835.443737
15.27,190381,1028,980,10897,78406,71574,30897,43441,12584,249909,149275,2462,2371,733,630,NA,210,32,195,356,381,782,831109,1291,158,73,7,247829,0.298190731,1522,546.0637319,437,1901.851259
20.26,227026,991,998,24865,108940,78755,35023,30256,6677,264800,242595,873,870,435,381,41,216,39,182,210,196,394,1025766,780,247,95,6,284538,0.27739075,1122,914.2299465,437,2347.290618
14.41,284876,999,983,19240,106236,93337,43481,66172,21567,353367,217068,1922,1867,683,618,NA,254,50,235,1058,260,417,1180637,1234,199,106,9,350044,0.296487405,1539,767.1455491,539,2190.42115
