Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate
14.08,222630,932,865,5885,215489,165823,69614,121119,21088,395470,137608,516,513,517,9,2,265,28,208,454,485,478,1182709,514,0,127,6,599082
12.04,364447,927,800,9603,345067,306412,160453,309309,56891,665080,163439,593,593,593,3,3,440,47,272,546,593,560,1837892,589,0,276,5,1188224
18.3,399847,947,879,13244,299309,296151,176084,332201,53757,662249,278188,1370,1368,1358,187,163,784,69,361,1070,1338,1162,2082531,1362,0,544,20,1171555
23.88,269440,912,813,5710,221042,214072,136174,231335,71259,467413,86923,291,291,291,14,14,244,23,129,261,286,283,1334455,290,0,177,5,879834
26.61,1150588,892,835,34840,816251,963479,602259,1113922,479990,1799126,210239,546,542,546,61,20,428,35,181,488,539,540,5816519,542,0,156,0,4012140
25.34,277667,924,886,7798,260586,231369,119782,132242,29293,512038,135571,649,649,650,2,0,170,30,136,443,599,478,1515148,648,0,111,2,781155
25.6,597990,930,854,19339,489497,561231,341580,492263,129543,1076436,168370,844,844,844,99,78,542,58,341,723,830,690,3169881,842,0,214,1,2033946
22.39,350105,941,898,14273,307824,317584,178293,207926,57566,624057,110325,695,694,666,21,7,286,32,212,541,626,452,1904278,666,0,134,3,1083696
14.35,105893,946,897,3029,86630,91944,58461,63064,13007,173594,41540,182,178,155,8,1,130,9,60,132,141,132,536835,156,0,33,1,316172
17.08,432884,955,902,14948,396444,397552,245044,293642,60977,785530,215312,922,916,901,38,3,803,50,369,743,828,765,2448173,858,0,299,6,1408878
6.45,248677,987,892,8015,272031,255693,100584,133486,20031,470043,130776,614,613,615,102,85,383,39,170,520,590,535,1393918,614,0,118,3,789978
19.29,426001,937,881,17227,451513,447754,176531,217579,57987,781166,163393,790,790,789,126,104,526,46,269,618,758,690,2469630,786,0,122,2,1368920
13.03,360808,910,848,8141,323092,328052,163168,299294,71226,617669,167042,350,350,350,13,9,301,54,181,330,346,345,1856872,350,0,211,2,1193404
13.24,395493,923,875,11755,351172,343682,180020,299712,56489,694400,213780,612,612,612,34,34,432,57,285,498,559,548,2024216,612,0,306,6,1243363
20.36,360862,938,934,12135,302434,276113,156973,239821,37261,616885,359841,1201,1200,1201,206,104,781,58,318,591,1003,963,2025277,1182,0,378,8,1025835
28.35,244009,985,966,9252,194817,145165,87404,130333,20770,496410,318180,693,693,692,79,18,580,40,308,315,572,572,1636433,690,0,182,3,588074
19.8,739276,919,885,20092,544745,532329,314118,596035,219863,1202620,316225,1548,1548,1532,280,192,1254,72,447,827,1114,1134,3641802,1488,0,242,7,2228008
14.4,104038,949,945,2940,88671,72778,39196,47023,8831,176372,82744,552,544,530,30,4,324,20,128,267,318,398,514404,515,0,58,0,259472
19.32,282677,921,917,7217,245062,242665,125810,203903,49957,469551,101142,657,654,656,3,2,403,31,211,539,582,600,1370656,644,0,136,5,875519
47.04,1027843,835,871,21145,749869,897529,499495,847536,189593,1981266,201243,1167,1167,1165,142,86,1040,71,484,873,1040,1036,4995174,1134,0,239,9,3206404
29.58,36498,987,974,1047,38529,25573,11049,11161,2217,68599,24394,311,311,311,251,34,258,9,48,78,211,185,186729,309,0,25,1,89586
13.22,257161,955,915,5025,199422,204846,130100,227515,51890,457002,88213,374,374,374,8,8,268,30,224,353,371,365,1229463,368,0,148,2,819146
29.66,289159,920,933,8035,206715,200325,133866,225426,58659,503333,146924,450,450,425,139,11,303,31,237,293,383,347,1410553,449,0,115,1,833257
51.16,92593,823,828,3801,50241,64345,41250,89592,48484,150353,28291,222,222,224,152,NA,86,2,37,136,136,205,468411,193,93,84,2,297795
25.69,184319,868,781,5297,113292,177353,115883,192036,58843,275648,48873,482,482,479,26,NA,204,17,73,408,370,478,1014411,432,188,216,4,662789
21.84,183238,862,805,8954,126259,182389,113863,165121,42063,280728,55805,613,613,607,97,NA,248,16,119,437,246,596,1041630,483,161,157,0,638711
23.72,142950,866,771,5270,108187,143229,82975,122395,32775,250596,57796,402,402,406,135,NA,179,18,103,365,262,407,825454,385,139,109,0,494873
20.95,164258,853,790,6201,126436,143353,76312,100857,19385,268127,103884,270,270,270,38,37,160,19,118,228,228,270,946131,261,147,185,2,472563
23.13,224230,865,808,8113,166169,208280,123098,180013,46851,355466,99989,422,422,422,46,NA,186,23,122,314,305,414,1274183,385,188,170,1,732609
38.57,174388,829,808,6963,122396,147276,96105,151277,35403,289013,93788,179,179,179,89,NA,116,14,85,155,144,171,967449,168,110,104,2,559478
22.36,223342,839,788,9201,161024,193323,133517,247039,43912,383449,139582,323,323,323,50,50,248,22,157,291,286,320,1279175,316,232,255,2,788105
21.35,204942,852,818,9882,161970,181858,98902,145996,23995,372049,149897,306,306,306,123,NA,247,28,121,280,265,306,1189827,300,210,200,0,622654
24.76,142017,884,828,9522,110228,120062,59284,78653,14390,261623,101352,243,243,241,34,30,143,16,84,203,220,242,806158,237,152,128,1,392178
22.96,194809,882,817,10952,153153,172232,90443,120460,27303,363946,111625,321,321,318,59,38,197,28,132,250,300,310,1116649,312,157,123,4,574624
27.06,272738,851,831,11521,206809,228924,131189,214909,48813,516817,148755,272,272,272,81,NA,219,30,172,233,262,272,1537117,260,223,269,2,842302
22.45,246742,879,840,13158,190479,227844,135464,207427,35372,425210,184110,437,437,437,82,NA,252,55,235,324,419,436,1425022,429,321,363,1,809896
20.99,167593,847,798,8102,112757,141601,100047,182301,47537,288225,82848,146,146,146,24,NA,118,17,82,135,134,145,940128,130,117,140,2,592485
24.09,158075,847,800,5383,104085,139426,100081,167785,24836,276208,112507,247,247,246,137,NA,150,26,104,181,200,247,880072,238,164,150,3,541635
19.09,135218,918,817,5119,106547,138412,91716,117411,19064,204704,147160,368,368,368,228,NA,190,17,100,233,288,367,812521,350,164,121,1,478296
25.24,135560,899,811,5104,94485,126813,93964,141258,26537,204855,128767,397,397,397,62,52,175,10,104,266,316,396,765351,379,165,151,3,488190
44.64,273881,873,857,18447,195476,202181,129579,212394,76434,464644,165014,694,694,693,606,NA,203,24,144,307,443,677,1660289,642,228,186,2,834693
48.47,391426,839,849,18992,277239,287742,204851,354094,126692,609663,176099,413,413,413,131,NA,188,27,140,181,254,395,2194586,376,185,161,1,1269801
17.09,87029,959,954,4354,72121,75341,34228,51105,8997,128452,102000,1118,1108,1111,962,0,300,28,199,483,402,333,460887,852,290,172,2,246169
14.01,272487,1025,835,11092,163622,259382,174315,287036,44916,336649,252345,3619,3617,3602,1455,75,786,48,430,2346,2127,1767,1339030,1869,725,466,9,940505
6.17,7999,802,961,1333,5282,5439,3288,5098,1164,19209,1879,287,266,250,241,0,65,9,34,77,167,87,33224,189,57,42,1,21609
25.6,76902,927,959,3747,65666,68910,35947,53725,11636,166715,49798,172,172,172,123,2,140,13,98,163,111,82,381571,171,122,96,0,239649
16.05,182378,1013,918,7906,119193,165195,95535,173205,26714,269076,185216,2833,2833,2827,1225,49,533,45,309,1803,1207,748,901344,1621,498,315,3,587884
11.62,86771,1099,850,2529,44767,79284,59251,96848,15783,119870,85535,1635,1634,1619,370,7,289,16,153,1422,891,733,412700,555,224,163,3,298498
18.43,88181,997,837,3377,55738,88129,57583,93782,13646,119050,82608,758,756,756,389,26,284,12,131,675,489,450,448273,415,193,145,4,312278
15.35,65750,990,881,3082,38795,67592,42373,68148,11726,110652,56056,965,963,962,370,16,230,19,135,674,574,513,340885,544,168,102,1,231733
30.64,99317,852,900,4363,62747,88573,58832,94957,22900,172274,91171,2386,2332,2383,1535,169,310,20,178,1783,1210,783,500557,798,227,129,1,332410
20.72,81441,901,934,5362,78462,82376,41188,54470,12755,175913,49959,966,952,964,576,27,254,23,140,652,523,317,458593,694,227,121,1,274643
16.9,154693,896,929,11640,97060,114805,78995,153284,48464,305709,64514,2519,2493,2508,1921,69,396,53,256,1806,938,477,722502,1363,453,288,3,504330
17.79,18641,857,979,775,13424,14945,9158,11537,2069,40313,7498,196,188,232,160,6,77,17,32,150,90,78,78334,158,76,60,1,51913
29.05,174264,934,962,13092,100712,92857,48324,51170,10916,231057,171864,858,849,190,139,58,116,18,54,126,99,180,1035464,566,155,42,2,317078
26.8,352829,935,967,33789,206209,216865,107506,150002,35898,444921,348737,2465,2461,410,313,122,349,45,98,324,305,581,2098359,1474,335,0,8,750293
29.05,129348,959,975,11234,94507,81157,35306,39319,8712,188843,110265,1343,1343,131,103,7,30,8,12,75,51,172,791434,558,104,4,1,270256
24.02,391606,950,965,19873,321029,282228,166762,214238,65684,532895,257154,1543,1541,413,319,16,147,37,79,261,124,436,2277475,962,225,88,14,1069890
26.32,78835,1001,974,6584,70944,59545,25390,34863,10167,109394,65616,526,526,200,169,9,72,13,32,52,47,116,499403,269,46,19,3,207495
27.09,301872,982,977,25575,231361,196026,90613,98939,24811,340925,303719,2532,2529,481,388,41,229,29,99,220,125,474,1904430,1232,221,70,9,667385
24.46,190037,914,972,11055,151615,132877,67813,80065,26206,283711,149003,2356,2355,289,248,9,94,18,49,149,146,304,1165390,768,156,49,7,469652
21.61,192649,926,977,16954,101438,101841,53607,72291,17374,238694,183247,1633,1576,257,221,40,141,24,67,147,104,341,1047939,892,179,53,6,363825
25.89,173104,942,972,8481,92769,72112,42219,46385,13814,278407,109638,1307,1207,119,114,1,69,16,38,94,52,300,927770,599,113,13,3,275829
24.34,132987,957,964,8025,59171,48036,24863,24190,6634,209435,100140,1128,1077,70,63,0,94,13,47,82,94,198,701664,596,82,12,1,170931
17.31,331318,961,976,21877,230245,209924,105943,99816,22993,470354,308024,3737,3718,213,188,12,312,53,132,302,282,693,1759602,1732,320,68,NA,690834
22.82,427939,874,951,27670,316204,325848,246471,329778,102522,492501,171557,1121,1121,503,426,10,154,19,59,178,77,482,2397102,708,183,61,14,1348584
22.11,317378,894,949,19929,198945,214614,159357,247536,82686,336131,173179,621,614,121,107,4,146,16,54,147,61,158,1777662,482,114,52,8,923150
25.72,505508,938,961,39249,339729,354556,249307,357487,160004,750962,325942,2052,2033,331,328,2,377,43,177,354,209,504,2785064,1343,362,1,11,1500541
26.14,65915,976,944,3738,46441,42447,28107,27698,8227,100918,52455,352,351,45,42,7,69,11,50,71,7,99,364521,254,68,6,1,156710
16.6,253469,993,976,12717,152438,159144,109189,108270,26466,446953,211968,1393,1390,92,74,6,365,39,226,286,213,287,1346767,1015,290,129,13,568234
16.35,405251,975,968,18091,206253,233474,156525,193556,49399,535154,382603,2777,2732,249,244,7,449,57,110,205,239,625,2082795,1914,485,25,NA,857301
22.66,374772,930,941,19167,227792,263554,189301,333179,136165,455527,237137,1610,1605,455,445,15,118,8,59,137,160,266,1982988,906,194,22,3,1169213
38.59,87052,906,1021,19625,43762,49065,53021,57176,9893,123713,88788,359,290,345,18,0,194,31,11,68,207,253,650393,346,149,67,1,232557
31.18,158901,903,963,31484,90604,97012,96009,106243,25681,270992,100529,639,601,617,147,1,231,29,13,172,346,460,1169780,595,266,98,0,447075
31.45,168232,851,948,37075,89649,101964,115438,220417,76539,330195,54474,168,157,168,10,0,74,14,1,52,142,151,1202447,149,73,29,0,641267
26.5,86489,930,1002,20047,47633,49071,43950,52789,12608,152980,73012,470,408,467,212,9,174,30,21,130,300,307,629309,419,179,59,0,226167
24.49,92738,945,1032,22280,54273,57661,53728,75934,17608,151135,61464,538,515,538,27,0,181,18,21,135,333,384,652607,473,179,64,0,281518
32.7,160395,922,986,41012,90591,97284,97638,110811,25804,261678,133310,605,552,594,65,0,277,34,8,163,421,520,1172434,562,254,83,0,463197
30.42,24147,823,954,4004,11984,15707,13957,18977,3572,38776,19349,112,97,96,92,0,104,9,31,49,85,80,117232,111,65,29,0,68278
31.39,17146,837,979,3142,13572,12883,14497,15065,1635,38330,17315,127,122,91,84,0,105,7,11,48,98,65,119307,126,74,37,0,60803
26.76,109500,903,964,13204,63657,62058,63344,62773,9365,194309,123971,649,622,574,17,1,395,22,4,176,186,177,691929,557,274,106,1,274425
26.95,122462,860,930,13555,70678,90460,77607,76342,14762,245387,121043,594,542,524,410,7,261,32,57,330,316,291,743509,535,226,96,0,343429
28.08,59848,919,958,6610,32185,38931,40392,31434,6832,86507,114593,172,168,170,3,0,118,21,13,94,105,117,372613,168,115,62,0,156398
25.19,81116,878,904,7256,44306,60684,66255,47476,8237,118413,99799,377,339,360,41,0,189,20,16,206,234,230,483284,344,192,101,0,234228
28.39,304100,868,816,20757,151313,220259,261039,312206,104813,434430,93901,1040,1034,1033,300,0,328,30,62,431,752,821,1588772,787,327,126,0,1070574
20.91,96393,901,840,6881,56273,78668,77174,74150,14199,161823,43599,556,538,531,246,25,214,27,26,279,362,452,550084,452,241,90,0,307370
17.4,789164,960,921,32577,675665,681713,233698,555114,126507,1537645,340129,1254,1254,1247,0,0,740,121,451,1040,1136,1126,4214505,1240,979,404,16,2305279
18.84,293645,980,939,16621,254452,230572,73843,175891,43406,561559,158100,618,617,617,0,0,429,41,191,491,587,461,1651892,560,476,155,9,794785
17.63,317379,950,928,18729,276393,240833,81050,193305,56251,551972,166241,659,658,657,0,0,392,51,271,561,572,357,1806918,626,558,244,11,866561
21.02,536056,966,937,42131,397499,345382,123657,310638,78138,1010430,339642,1327,1323,1342,0,0,708,109,376,910,975,875,3130922,1337,808,249,3,1297445
19.56,252250,949,941,27404,197821,223243,76573,196756,46559,424985,132618,596,596,596,0,0,293,41,206,474,487,465,1502373,591,411,157,5,768358
21.93,297775,983,964,28540,245076,177843,58192,134598,32550,544347,188415,806,783,796,0,0,338,47,187,520,622,436,1669762,306,254,77,1,676799
24.57,210888,983,953,17930,216383,140403,45683,93327,20820,422208,132298,590,585,594,0,0,281,44,145,406,467,439,1196089,560,391,94,3,534547
13.14,181500,969,951,9308,180661,155973,53681,122380,29358,388763,69054,327,327,322,0,0,202,29,131,277,300,224,971835,297,256,105,3,551362
16.65,297494,949,942,13779,265574,270372,93207,262645,86968,587018,97474,358,358,359,0,0,201,24,121,302,349,187,1604253,313,271,93,2,992550
10.9,273422,971,946,10304,307104,246858,101631,185288,52839,455302,125976,1243,1223,1148,0,0,359,50,108,902,773,714,1353644,964,558,180,4,904024
13.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,531221,135493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1439116,NA,NA,NA,NA,837509
22.3,373034,969,946,23988,314498,275866,108406,199472,58253,801369,119452,523,515,524,0,0,260,53,208,383,471,418,2027140,381,358,140,11,980483
15.05,296718,955,946,15737,228923,239747,108463,211183,45637,576035,145800,916,913,946,0,0,197,56,143,722,722,714,1517896,879,620,278,11,849690
14.78,337484,952,945,20222,277453,289955,136028,259402,62560,631726,152055,786,784,808,0,0,278,57,248,613,682,577,1790952,727,526,291,17,1045620
12.9,341224,978,955,12369,269618,307761,145435,263089,70661,586832,127839,1415,1411,1399,0,0,311,51,170,1046,980,1014,1642545,989,626,199,10,1068934
6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,417287,70886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112243,NA,NA,NA,NA,810584
11.98,246110,984,958,12820,174942,217446,104208,175305,38887,428830,87847,1029,1019,1034,0,0,161,51,113,580,572,668,1140905,518,465,188,7,723610
11.87,550473,967,949,26140,353737,442987,246919,376384,79317,1050291,266648,2477,2475,2573,0,0,382,85,287,1284,1554,1562,2584711,2123,1321,483,12,1525485
13.83,504185,972,959,25706,329607,404772,223831,332698,65652,1014667,220361,2797,2781,2785,0,0,490,85,375,1211,1973,1726,2536069,2342,1073,251,NA,1382267
34.8,1460697,908,942,59922,665866,993052,591695,1735275,736744,2378180,188734,651,650,644,0,0,144,25,104,424,480,504,6537124,561,277,94,14,4782565
12.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,726652,165879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1881514,NA,NA,NA,NA,1071327
7.14,373672,986,934,18018,199499,286608,170984,230259,46091,682440,157979,1330,1322,1323,0,0,458,113,309,684,842,1022,1763705,1185,787,242,17,951460
9.66,364806,1004,958,13691,238258,313894,187201,239412,52127,702827,161884,2330,2325,2341,0,0,482,80,379,1311,1320,1859,1721669,1990,1016,313,8,1044584
14.51,362216,1022,951,6826,338980,483612,157540,310789,93990,841509,104881,354,354,354,0,0,327,56,272,349,346,345,1897730,352,342,192,11,1391738
11.64,130110,996,976,4273,83154,109557,61766,90068,24723,247574,18804,279,279,286,0,0,138,38,121,241,242,264,548561,267,199,102,10,373541
15.04,545741,964,961,23181,306190,419378,217783,373399,131222,926129,184135,1184,1173,1215,0,0,459,85,354,774,997,904,2641027,1101,714,227,9,1471155
9.16,203430,971,964,12796,112389,133704,65811,88966,19034,336961,111408,421,421,418,0,0,108,49,18,288,335,346,965462,368,267,89,1,432700
12.3,225252,1047,959,15737,205087,256203,186515,189868,30391,327762,90083,112,112,112,0,0,93,40,30,111,112,112,1204078,111,92,95,4,883860
7.13,457368,1090,961,20943,350835,544405,441878,521715,91604,626876,140321,78,78,78,2,2,78,43,14,78,78,78,2408956,78,77,80,6,1971403
17.04,166763,995,959,9477,135598,154742,134323,122652,19920,219789,88824,48,48,48,5,3,48,29,44,48,48,48,780619,47,46,54,7,576735
9.87,567658,1057,958,24198,447198,601267,598508,556008,108192,630836,172064,87,87,87,0,0,87,56,53,87,87,87,2879131,87,85,97,9,2335442
17.22,612413,1066,959,38077,678943,775445,747341,451421,63246,691848,182628,122,122,122,0,0,121,94,96,122,122,122,3625471,122,121,152,14,2754509
9.86,530216,1066,963,29628,402235,519629,510415,403353,73476,768620,176432,144,144,144,0,0,139,80,77,144,144,144,2617482,141,127,144,6,1938818
8.7,639871,1092,958,19327,497934,546008,503278,719444,151519,808965,146335,204,204,204,1,1,194,76,49,204,204,204,2974232,196,162,156,12,2437592
9.09,693161,1019,954,24520,476336,528694,503631,820372,225105,915756,201335,90,90,90,0,0,89,67,36,90,90,90,3105798,89,85,114,NA,2578813
6.96,265344,993,968,10231,176890,217996,203095,234505,39708,400699,86653,64,64,64,4,1,62,46,38,64,64,64,1129221,60,59,74,9,882458
6.76,434520,1025,962,10972,287281,345448,355148,540662,128708,539609,102548,89,89,89,0,0,88,65,30,89,89,89,1953646,89,87,123,13,1668266
5.21,483960,1079,955,19544,321620,378825,425623,513397,99917,547049,176305,77,77,77,1,0,74,58,34,77,77,77,2109160,75,73,99,10,1758978
3.72,297134,1094,967,10519,176696,209013,251917,336720,64974,285844,80205,65,65,65,3,2,63,50,32,65,65,65,1234016,64,61,91,9,1049876
7.33,593314,1069,960,19622,365157,449780,539180,593072,123596,654823,173743,93,93,93,1,0,92,58,43,93,93,93,2585208,93,90,128,11,2090444
9.78,759382,1060,962,32359,409276,527786,634060,732255,222693,818497,229438,91,91,91,0,0,90,65,41,91,91,90,3234356,91,87,114,NA,2558494
17.19,9993,948,958,2488,12358,12994,9162,6718,959,11710,3644,8,8,8,0,0,7,4,7,8,0,0,60650,7,6,8,0,44683
23.21,245421,977,961,27965,198188,147995,68675,131899,28499,458321,151712,932,895,778,295,198,259,47,128,299,679,614,1311709,920,217,160,4,603221
16.01,324557,944,906,33191,287710,272659,130236,256675,60362,573496,164445,675,675,673,365,356,276,40,120,384,596,539,1707947,669,328,289,10,1040837
15.44,732767,933,880,45138,672889,650949,329660,563675,119062,1300086,263897,1491,1491,1486,0,0,934,74,380,1425,1428,1376,3682690,1470,663,442,11,2381376
18.03,445634,946,908,26020,490339,381863,203864,275600,56203,908797,107218,1289,1286,1263,15,30,379,19,30,677,846,1012,2232480,1194,618,230,4,1433889
20.51,319947,938,933,18448,326724,280039,177990,268309,63735,582264,65979,851,850,840,179,123,212,7,30,277,530,736,1630239,786,374,242,NA,1135245
18.25,200958,939,917,10253,214413,169377,82710,129753,24256,395651,59681,697,695,687,380,371,292,9,52,294,507,593,1020216,666,304,183,7,630763
18.45,526230,938,941,34341,537635,433284,305648,431104,114536,908363,187259,1646,1646,1629,302,273,705,61,180,888,981,1475,2607160,1444,675,379,13,1856549
15.3,270502,935,928,13691,235556,184139,152341,227660,52169,431330,119021,998,998,998,248,334,392,26,149,735,697,768,1236736,842,362,201,19,865556
23.25,838599,932,941,40132,714181,593659,555120,780536,292546,1283079,255270,1621,1621,1616,598,649,161,27,20,726,869,1443,4067637,1419,594,273,14,2976205
11.2,244531,981,956,7957,236573,158182,156083,172183,39684,365464,171421,772,772,774,191,41,442,32,188,503,453,415,1136146,716,313,219,9,770662
10.49,249720,1005,958,11074,275016,185713,143438,162514,30658,391890,187706,891,891,884,214,53,527,39,231,560,486,443,1200707,832,418,213,6,808414
23.25,210362,976,965,9945,172054,120709,80995,89838,16579,336959,160145,1509,1503,1320,544,185,369,37,79,199,505,1110,970294,1279,392,175,11,490121
17.26,462632,948,939,16585,374883,306002,241905,301614,70018,683029,247762,1462,1460,1444,807,632,318,54,92,370,736,1349,2071101,1359,608,260,12,1311008
18.46,518214,942,932,32617,516171,383231,232990,303089,69675,949453,169484,1820,1818,1795,253,169,723,59,364,513,1184,1455,2458271,1729,783,319,14,1537777
23.08,527875,942,928,71612,524856,416146,191069,330094,91908,965087,236950,1538,1537,1531,2,1,209,71,111,458,1141,1049,2876259,1536,768,504,26,1625685
19.76,180695,953,926,16402,205778,154660,67561,79787,19120,412838,47140,659,658,657,12,14,171,37,55,187,426,545,987160,650,301,103,6,543309
15.31,278702,958,922,24517,294176,230416,107401,145218,40808,559917,84835,830,830,824,12,2,386,33,104,293,587,824,1527715,821,387,145,2,842536
18.17,303886,951,903,24794,324877,249322,106869,135386,29151,611998,104902,963,963,959,117,133,380,42,109,362,637,848,1612980,952,497,158,4,870399
31.93,549898,924,890,36544,490608,455114,233997,424582,130802,1025531,151326,1294,1294,1286,17,46,701,40,121,523,916,1080,2897013,1236,667,249,4,1771659
29.51,915137,927,920,53499,817907,814181,453224,776968,210382,1911340,274233,1923,1923,1911,0,0,918,110,479,1001,1503,1745,4993796,1905,863,664,20,3126188
54.86,1755124,858,931,92544,1115473,1322471,818886,1691149,595234,2782004,397977,1726,1725,1723,993,279,697,66,449,539,1300,1385,8131849,1709,536,273,8,5635799
27.2,1838426,822,922,106731,1032701,1556583,1010677,2041567,868911,2971039,181470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8640419,NA,NA,NA,NA,6617264
4.79,677163,777,921,58562,399471,600035,415610,811413,305520,1250710,61029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3338031,NA,NA,NA,NA,2590613
20.89,478933,976,938,25719,390552,398377,249510,307692,86468,664689,249306,1858,1856,1848,1814,21,562,46,218,1170,1374,1331,2207929,1723,713,275,5,1458324
30.58,1517041,919,902,85293,999712,1234236,737247,1431502,551221,2645429,309053,1844,1822,1815,414,166,755,88,59,1004,1424,1627,7232555,1809,1068,604,NA,5039290
21.2,776787,940,884,55219,726356,718363,355240,593593,149809,1611061,245985,1578,1578,1578,51,51,852,142,131,1232,1261,1360,4040642,1575,899,707,26,2598597
18.54,414973,936,893,34496,403026,323189,151017,259282,70423,830658,126926,1353,1353,1354,0,0,318,56,74,342,1075,1170,2161250,1344,670,344,10,1241434
23.95,381600,935,917,33202,350523,326969,180947,292029,70863,712849,127669,921,921,919,9,8,409,19,11,501,773,768,2080285,917,640,360,13,1254534
15.35,295750,932,893,24288,232199,248126,128486,192685,46238,555202,98320,729,729,727,57,69,400,37,176,577,575,605,1486586,726,492,255,5,872022
19.32,735092,935,894,55333,655398,711633,332698,466479,115283,1485967,257074,1136,1136,1138,0,0,715,82,233,805,991,1126,3849543,1131,922,685,12,2336825
14.1,570606,995,877,31180,444765,548233,290898,479369,114502,1044989,258669,1716,1699,1701,21,13,646,89,113,1103,1325,1458,2808994,1680,912,506,NA,1908947
9.87,377366,1136,952,16675,327323,367654,164363,178857,40950,557613,205774,1538,1533,1539,1311,50,810,67,382,991,1391,1401,1696777,1484,1043,321,6,1095833
3.55,192666,1079,944,7988,150313,187388,108179,131412,27638,233827,171158,743,743,735,149,0,593,37,242,578,658,597,868825,722,556,212,4,612919
17.59,712349,949,838,43555,537745,646010,333618,634498,168879,1394882,258088,1194,1190,1190,0,0,638,86,143,806,996,921,3523162,1185,837,523,NA,2364307
17.59,506593,957,851,36226,395814,501154,236743,433642,114255,952241,266414,721,719,721,66,70,567,71,260,635,674,674,2583524,719,569,440,19,1717836
29.23,16149,922,936,2885,10097,16167,12056,13097,2511,43353,7510,171,75,75,75,0,42,8,27,44,36,47,111499,157,68,15,1,56819
29.81,37626,944,968,9235,30746,36192,27406,28475,6998,71933,27430,539,161,306,306,0,66,7,48,69,95,123,227905,395,143,48,5,139080
13.9,35303,993,951,3722,19143,21085,28539,32825,14474,55557,34146,48,41,46,46,0,28,7,21,28,41,38,208368,47,38,23,0,119823
24.62,67681,998,966,5196,34811,40258,51767,51218,18800,111486,65857,90,88,84,84,0,36,9,26,38,73,79,364140,88,58,35,1,202102
15.42,79078,1004,944,6332,35811,43273,70823,97181,57683,129101,49010,114,104,114,114,0,35,4,28,51,103,105,444382,112,74,53,5,311238
19.16,69182,991,962,4509,37837,44284,63063,73202,33010,106562,50320,196,170,191,191,0,35,0,32,45,103,120,394876,189,100,50,6,255956
28.98,23318,916,946,1615,13553,21575,22113,22673,5995,51564,14951,198,110,154,154,0,47,4,35,55,59,86,140778,188,79,36,1,87549
72.8,20908,981,961,1677,10574,14523,13039,14308,3327,39935,14610,323,125,190,190,0,25,6,15,53,76,126,118327,214,50,16,2,57460
27.98,95524,968,960,7566,77564,52624,29859,38497,5385,163008,45353,1465,1314,536,488,6,148,29,44,96,356,425,518390,1118,286,97,2,211499
31.1,45062,966,971,3263,52378,32931,17899,13078,1322,78806,33190,862,727,287,283,0,91,15,44,38,181,261,250582,716,134,40,0,120874
28.59,17900,942,970,1725,17283,11948,6384,6059,415,31351,16497,595,363,117,108,1,22,6,7,24,111,153,100980,416,71,22,0,43816
33.59,50035,968,974,6098,79230,32783,14991,12352,2128,97784,31311,923,719,326,320,2,70,21,29,88,254,286,296049,877,185,59,1,147590
51.44,34844,941,971,7840,48017,21053,9876,10061,1906,71237,18170,543,455,359,350,0,37,14,16,41,213,255,192790,457,99,23,1,98754
22.88,125567,981,971,8987,136270,84592,59433,88682,37129,219190,37372,920,811,682,661,15,54,29,4,117,480,465,660923,758,186,65,1,415160
34.12,49918,996,994,9294,56014,23696,12145,15666,3357,95635,31242,462,415,291,258,2,70,20,17,87,295,207,299108,383,124,47,3,120182
3.5,12253,896,936,580,17793,11786,6611,3220,857,27428,7737,81,20,63,63,0,35,5,28,41,35,34,62785,72,44,24,0,40849
36.01,14053,908,972,1182,19384,14227,9422,5028,1351,27441,8069,39,34,30,30,0,19,2,17,14,17,13,65960,30,24,12,0,50596
39.24,64753,952,972,3008,80883,67374,58941,43311,16154,125328,37633,96,53,81,74,0,46,6,40,56,55,45,325676,86,68,43,0,269699
29.77,22059,944,972,1616,36061,23377,11824,7102,2051,49658,18476,88,76,64,64,0,51,8,43,60,36,31,108392,80,72,41,1,82036
18.45,10116,967,977,631,17545,12300,7393,3588,1124,24783,7740,35,15,34,34,0,25,5,20,21,11,12,53861,32,30,15,1,42582
23.1,27889,922,962,1445,37039,25687,16973,11926,3025,60870,10922,160,39,101,101,0,55,9,45,57,50,49,137223,130,82,30,0,96097
