Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate
15.05,168619,943,947,11179,123002,97692,63583,76399,11591,234771,100078,951,949,704,690,14,211,25,38,151,284,557,905764,906,354,118,10,383541
23.42,297121,947,965,13946,228580,152632,105492,101129,23131,399201,71159,1261,1247,904,897,11,374,29,5,272,362,405,1637344,1138,612,205,6,625369
23.07,146826,956,974,7548,145790,92621,67036,60309,10964,209928,63997,761,759,689,688,1,243,18,46,134,209,165,822035,723,311,130,13,384670
12.23,168556,945,972,7842,142193,106878,81738,84500,16694,233087,60156,881,876,607,607,11,112,25,35,132,299,347,904835,805,340,138,4,439861
18.53,290494,941,960,17763,241853,162333,132818,164157,33386,408537,108551,1050,1045,775,768,41,430,32,138,275,370,469,1647201,967,603,320,36,752682
25.75,490740,901,957,28042,355779,312309,275453,466555,169680,697810,144443,1342,1311,1042,1014,14,468,42,117,378,702,938,2522324,1190,592,286,21,1608191
11.98,202708,939,958,14188,178933,138882,121336,174317,30251,291665,92267,798,796,733,609,52,179,32,51,273,362,375,1148824,769,481,226,23,657925
15.79,271841,944,975,25329,214363,155853,127004,139276,23154,404428,123565,1319,1280,1032,1023,11,356,35,72,211,504,930,1504320,1246,457,196,12,684998
21.29,133458,946,965,7934,121385,89100,67786,69749,11307,200132,62692,592,592,389,349,42,219,15,45,162,269,281,776256,531,255,104,8,367292
22.3,410882,944,975,21941,369818,288125,212668,226919,45957,566195,161446,1374,1369,1190,1147,110,480,40,151,548,787,931,2314629,1257,680,309,17,1165617
17.8,315116,929,973,18082,255139,204000,144886,172379,36083,465283,169440,1784,1772,1331,1209,74,235,40,88,422,539,1067,1681513,1372,405,172,13,830579
18.34,157167,951,966,9552,134273,101435,103794,135467,21888,288052,209693,1139,1136,680,677,5,211,23,81,240,291,650,889010,1046,697,265,16,506433
18.93,96949,941,970,7541,80592,62969,57868,85106,10527,155431,94715,1236,1235,253,253,0,83,20,35,94,185,317,571944,1068,505,172,19,304606
19.52,218885,913,957,15110,166316,143102,109758,129043,24927,349847,116504,1107,1104,871,810,11,198,23,69,222,400,694,1150062,936,246,86,7,588302
12.43,228574,931,962,17173,166630,148411,130235,193998,41634,342708,129711,1309,1309,1195,1169,30,263,36,97,300,497,459,1185072,1169,382,177,9,698148
